Temparature,Humidity,Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,Fertilizer Name
30.3,62.5,54.7,Loamy,Sugarcane,15.1,9.5,33.1,14-35-14
31.9,55.6,43.6,Sandy,Maize,21.8,1.1,20.5,28-28
30.7,51.7,50.5,Loamy,Wheat,15.3,3.2,37.4,DAP
32.7,62.6,34.8,Red,Tobacco,22.8,0.9,20.5,28-28
30.7,63.4,33.6,Loamy,Sugarcane,36.5,2.2,0.7,Urea
39.5,69.5,35.3,Clayey,Paddy,13.2,4.7,40.8,DAP
30.6,64.4,42.2,Clayey,Paddy,16.1,1.8,24.8,28-28
30.2,67.1,35.2,Red,Pulses,24.1,1.8,20.8,28-28
32.2,62.2,40.3,Red,Tobacco,22.3,2.1,25.0,28-28
30.6,58.6,34.7,Black,Millets,40.2,0.0,0.8,Urea
37.9,68.2,35.0,Black,Oil seeds,8.2,9.4,42.8,DAP
32.7,62.2,33.7,Clayey,Pulses,41.2,0.0,4.6,Urea
30.0,55.3,24.8,Red,Ground Nuts,16.6,18.4,13.3,17-17-17
37.4,64.6,32.1,Red,Pulses,23.7,4.5,21.6,28-28
26.4,53.8,33.1,Black,Millets,42.1,1.7,0.6,Urea
31.3,58.2,60.5,Red,Cotton,11.9,13.2,35.2,14-35-14
33.5,60.9,30.5,Red,Pulses,20.1,3.1,19.7,28-28
28.4,48.6,37.0,Sandy,Barley,16.9,12.2,12.5,17-17-17
32.9,55.6,44.5,Sandy,Maize,24.1,1.1,17.3,28-28
27.6,55.5,25.0,Sandy,Ground Nuts,13.6,4.8,43.6,DAP
35.0,64.8,50.1,Loamy,Wheat,41.8,4.9,0.0,Urea
28.8,53.3,55.7,Loamy,Wheat,11.9,3.1,35.3,DAP
32.8,50.1,41.5,Sandy,Maize,36.8,1.7,7.6,Urea
31.3,59.4,44.5,Black,Sugarcane,12.8,14.3,11.4,17-17-17
29.9,64.4,60.1,Loamy,Sugarcane,13.2,8.7,29.6,14-35-14
29.6,55.8,34.5,Sandy,Maize,21.7,3.6,24.0,28-28
31.9,63.6,33.6,Red,Pulses,20.2,1.6,21.0,28-28
31.6,55.2,43.3,Clayey,Paddy,45.1,0.8,4.1,Urea
39.1,67.4,33.2,Black,Oil seeds,12.5,6.7,36.7,DAP
32.1,60.6,36.9,Red,Tobacco,26.4,4.3,26.8,28-28
38.4,69.8,32.8,Black,Oil seeds,9.1,8.2,40.1,DAP
34.3,65.1,36.0,Red,Tobacco,31.8,0.9,19.6,28-28
30.2,57.1,60.2,Red,Cotton,13.1,2.2,10.4,20-20
31.8,60.4,27.9,Loamy,Sugarcane,39.5,0.6,0.7,Urea
28.6,54.3,29.8,Red,Ground Nuts,9.2,0.2,44.8,DAP
26.7,56.8,26.4,Red,Ground Nuts,17.4,14.5,13.3,17-17-17
33.9,63.8,29.8,Loamy,Sugarcane,14.0,1.2,39.2,DAP
34.2,67.6,62.7,Red,Cotton,8.3,12.2,34.2,14-35-14
29.9,58.9,32.6,Black,Millets,35.8,3.6,1.1,Urea
31.4,60.5,59.9,Loamy,Cotton,9.7,11.0,33.1,14-35-14
33.5,61.2,38.1,Clayey,Pulses,39.4,3.0,1.0,Urea
29.4,57.4,29.9,Black,Millets,37.4,0.1,2.9,Urea
36.1,67.8,55.1,Loamy,Sugarcane,12.0,13.7,12.7,17-17-17
32.8,63.0,65.5,Loamy,Cotton,11.1,12.2,31.3,14-35-14
31.7,56.1,51.3,Loamy,Wheat,11.1,2.2,44.5,DAP
30.2,56.1,27.1,Sandy,Ground Nuts,18.0,4.3,36.1,DAP
28.5,49.9,37.6,Sandy,Maize,22.3,4.0,23.5,28-28
33.1,65.6,64.5,Black,Cotton,11.8,11.3,32.9,14-35-14
29.4,66.0,31.5,Loamy,Sugarcane,15.2,1.7,39.4,DAP
27.6,59.5,36.4,Black,Millets,42.3,1.5,3.9,Urea
25.1,52.8,32.3,Sandy,Ground Nuts,17.6,2.5,37.5,DAP
38.9,69.9,37.7,Clayey,Paddy,15.7,4.0,36.9,DAP
36.0,64.3,34.7,Red,Pulses,23.9,3.4,21.8,28-28
39.0,69.8,37.2,Black,Oil seeds,9.2,10.5,43.1,DAP
26.5,55.4,36.6,Black,Millets,37.9,0.0,1.4,Urea
26.2,62.8,57.4,Loamy,Cotton,7.3,12.6,31.0,14-35-14
30.2,52.2,36.4,Sandy,Maize,24.0,2.2,21.9,28-28
